Year,month,ANIMAL_ID,V1
2013,5,mr2009a03,25991.090307121
2013,7,mr2009a03,36213.3765508589
2013,6,mr2009a06,28691.3573836328
2013,5,mr2009a06,23253.4349054478
2013,7,mr2009a06,42630.4299703642
2013,5,mr2009a09,21719.7148706013
2013,6,mr2009a09,28551.5045937338
2013,7,mr2009a09,31935.9419245916
2013,5,mr2009a10,21505.5909182096
2013,6,mr2009a10,29683.9182827574
2013,7,mr2009a10,42654.8646048671
2013,7,mr2009a25,32922.5220289697
2013,5,mr2009a25,22204.4353872686
2013,6,mr2009a25,27251.4597270713
2013,6,mr2009a31,31897.1161740242
2013,5,mr2009a31,21605.4079653177
2013,7,mr2009a31,42043.4467185294
2013,6,mr2011a01,42178.5853751886
2013,5,mr2011a01,21255.6736349693
2013,7,mr2011a01,46211.5011594363
2013,5,mr2011a04,24445.9499469875
2013,6,mr2011a04,31436.7847717682
2013,7,mr2011a04,39313.8571970721
2013,5,mr2012a01,34656.5324433986
2013,6,mr2012a01,41489.0795910794
2013,7,mr2012a01,39075.0946434671
2013,7,mr2012a02,39099.6913950373
2013,6,mr2012a02,40489.1340743278
2013,5,mr2012a02,34634.3694274262
2013,5,mr2012a03,22404.9668085041
2013,6,mr2012a03,29136.2005735769
2013,7,mr2012a03,42894.5922359101
2013,6,mr2012a04,28421.2188769164
2013,7,mr2012a04,33337.549297828
2013,5,mr2012a04,30580.0891998651
2013,6,mr2012a05,28843.5982989129
2013,5,mr2012a05,22219.5239452673
2013,7,mr2012a05,42596.0442490507
2013,6,mr2012a06,27434.2110823956
2013,7,mr2012a06,33079.5464908465
2013,5,mr2012a06,22487.8416054879
2013,6,mr2013a15,89347.1738862796
2013,5,mr2013a15,84582.373230557
2013,7,mr2013a15,87547.9995097121
